sku,name,category,brand,brand_country,manufacturer_code,alternative_markings,manufacturing_country,price,stock_qty,stock_is_tracked,availability_status,short_description,description,image_url,require_prepayment,cod_allowed,category_require_prepayment,category_cod_allowed,subtype,inner_diameter_mm,outer_diameter_mm,width_mm,rows,cage_type,bearing_seal_type,clearance,precision_class,belt_type,profile,length_mm,belt_width_mm,seal_type,seal_inner_diameter_mm,seal_outer_diameter_mm,seal_width_mm,material,lip_type,lubricant_type,viscosity,base_type,package_size,temperature_range
TB-BRG-00001,1000083 ZZ,bearings,,,1000083 ZZ,,,18.9,0,false,in_stock,Підшипник. Маркування: 1000083 ZZ.,,,,,,,підшипник,,,,,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-00002,1000084 ZZ,bearings,,,1000084 ZZ,,,17.01,0,false,in_stock,Підшипник. Маркування: 1000084 ZZ.,,,,,,,підшипник,,,,,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-00003,1000085 ZZ,bearings,,,1000085 ZZ,,,18.9,0,false,in_stock,Підшипник. Маркування: 1000085 ZZ.,,,,,,,підшипник,,,,,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-00004,1000086 RS,bearings,,,1000086 RS,,,15.75,0,false,in_stock,Підшипник. Маркування: 1000086 RS.,,,,,,,підшипник,,,,,,RS,,,,,,,,,,,,,,,,,
TB-BRG-00005,1000087 ZZ,bearings,,,1000087 ZZ,,,18.9,0,false,in_stock,Підшипник. Маркування: 1000087 ZZ.,,,,,,,підшипник,,,,,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-00006,1000088 RS,bearings,,,1000088 RS,,,10.08,0,false,in_stock,Підшипник. Маркування: 1000088 RS.,,,,,,,підшипник,,,,,,RS,,,,,,,,,,,,,,,,,
TB-BRG-00007,1000089 RS,bearings,,,1000089 RS,,,15.75,0,false,in_stock,Підшипник. Маркування: 1000089 RS.,,,,,,,підшипник,,,,,,RS,,,,,,,,,,,,,,,,,
TB-BRG-00008,1000092,bearings,,,1000092,,,15.18,0,false,in_stock,Підшипник. Маркування: 1000092.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-00009,1000092 RS,bearings,,,1000092 RS,,,39.0,0,false,in_stock,Підшипник. Маркування: 1000092 RS.,,,,,,,підшипник,,,,,,2RS,,,,,,,,,,,,,,,,,
TB-BRG-00010,1000092 Ю,bearings,,,1000092 Ю,,,49.85,0,false,in_stock,Підшипник. Маркування: 1000092 Ю.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-00011,1000093 RS,bearings,,,1000093 RS,,,15.75,0,false,in_stock,Підшипник. Маркування: 1000093 RS.,,,,,,,підшипник,,,,,,RS,,,,,,,,,,,,,,,,,
